WORD,COUNT
país,56
frente,33
amplio,32
educación,31
creo,28
uruguay,26
hoy,21
años,21
trabajo,20
nacional,20
mundo,19
ser,19
adelante,18
futuro,18
realmente,18
llevar,16
hacer,16
si,16
derechos,14
podemos,13
va,13
seguir,13
desarrollo,13
partido,13
seguridad,12
significa,12
además,11
pública,11
muchas,11
bien,11
gobierno,11
uruguayos,11
queremos,11
tener,10
puede,10
cosas,10
ver,10
derecho,10
parece,10
tema,10
salarios,9
inversión,9
gente,9
atrás,9
hecho,9
desafíos,9
proyecto,9
gracias,8
mejor,8
salud,8
fuerte,8
plan,8
nadie,8
van,8
hace,8
dos,8
ciento,8
hablando,8
ahí,8
absolutamente,8
reforma,8
después,8
nunca,8
único,8
dificultades,7
oportunidades,7
forma,7
interior,7
vamos,7
ahora,7
base,7
cada,7
sociedad,7
constitución,7
quieren,7
así,7
peor,7
millones,7
cambios,6
camino,6
lugar,6
social,6
trabajadores,6
haber,6
montevideo,6
cómo,6
jóvenes,6
creemos,6
situación,6
problemas,6
falta,6
aquí,6
acá,6
siempre,6
suerte,6
ejemplo,6
materia,6
militares,6
propuesta,6
propuestas,6
ley,6
segunda,6
realidad,6
grave,6
copa,6
programa,6
dólares,6
ir,6
llegar,6
utu,5
transformando,5
niños,5
bueno,5
decir,5
ingeniera,5
toda,5
manera,5
poder,5
necesita,5
lamentablemente,5
funcionan,5
aumenta,5
pbi,5
posible,5
escuelas,5
rumbo,5
precisa,5
importante,5
cárceles,5
pueden,5
alto,5
empresas,5
económico,5
impuestos,5
diálogo,5
necesario,5
grandes,4
matriz,4
construir,4
totalmente,4
sumergido,4
cambiamos,4
clave,4
resolver,4
privada,4
infraestructura,4
fiscal,4
hacia,4
presente,4
cosa,4
quede,4
medio,4
veces,4
parte,4
sido,4
función,4
aumentan,4
modelos,4
debate,4
relato,4
tercer,4
año,4
cumplir,4
policía,4
fundamental,4
días,4
miedo,4
enorme,4
pueda,4
guardia,4
políticas,4
sociales,4
pasta,4
quiero,4
tampoco,4
tiempo,4
acciones,4
tres,4
inteligencia,4
cárcel,4
punta,4
mujeres,4
hijos,4
violencia,4
género,4
igualdad,4
democracia,4
emergencia,4
sistema,4
hospitales,4
hicimos,4
miles,4
personas,4
nuevo,4
excelencia,4
vivir,4
acuerdo,4
partidos,4
hechos,4
vacía,4
resulta,4
grande,4
menos,4
modelo,4
subir,4
frases,4
intercambio,4
lejos,4
domingo,4
acuerdos,4
sólo,3
podríamos,3
universidad,3
costa,3
nueva,3
lado,3
gobiernos,3
viene,3
énfasis,3
ceibal,3
frenteamplista,3
paradoja,3
universitarios,3
construcción,3
mano,3
pobreza,3
pasado,3
calidad,3
ven,3
pasó,3
período,3
dicho,3
continuar,3
públicas,3
comprensión,3
lectora,3
entonces,3
queda,3
volver,3
empleo,3
crecimiento,3
república,3
hizo,3
día,3
cuatro,3
delincuentes,3
minutos,3
calle,3
decimos,3
comisión,3
película,3
recordar,3
generación,3
cambió,3
marco,3
vivienda,3
principal,3
problema,3
constitucional,3
incluso,3
separar,3
rieles,3
cero,3
experiencias,3
cambiar,3
cinco,3
tratamiento,3
bajó,3
mitad,3
hogares,3
decenas,3
enseñanza,3
verdad,3
resultados,3
asegurar,3
valores,3
pone,3
gran,3
lamentable,3
población,3
caso,3
agroindustrial,3
sector,3
hablan,3
economía,3
cambio,3
pagos,3
real,3
apertura,3
crisis,3
digital,3
ve,3
movimientos,3
verdaderos,3
gobernar,3
candidato,3
tocó,3
tomar,3
político,3
garantía,3
efectivamente,2
mundial,2
productiva,2
siglo,2
xxi,2
pensar,2
realizar,2
mayor,2
cobertura,2
energética,2
aciertos,2
reconversión,2
laboral,2
déficit,2
herramientas,2
liderazgo,2
multiplicar,2
fibra,2
bases,2
pasar,2
internet,2
iba,2
niñas,2
primero,2
paro,2
general,2
saber,2
salir,2
liceo,2
quedan,2
vera,2
cultura,2
especie,2
propiedad,2
productividad,2
negociación,2
colectiva,2
industria,2
