WORD,COUNT
abanderada,1
abortos,1
abril,1
abrir,1
absolutamente,8
abundancia,1
acceder,2
acciones,4
aceptado,1
aceptamos,1
acerca,1
aciertos,2
acompañamiento,1
actividad,1
actividades,1
actual,2
acuerdo,4
acuerdos,4
acusan,1
acusó,1
acv,2
acá,6
adecuamos,1
adelantarnos,1
adelante,18
además,11
adicciones,2
adictos,1
administración,1
administrarlo,1
administrativo,1
adoptado,1
adueñar,1
adversarios,1
afecta,1
afiliado,1
afinidades,1
afirmados,1
afirmar,2
afirmativas,2
afrodescendientes,1
afuera,1
agenda,2
agotó,1
agradecerle,1
agradecida,1
agregaremos,1
agroindustrial,3
agroindustriales,1
agropecuario,1
aguanta,1
ahora,7
ahí,8
aiguá,1
aire,1
ajustar,2
alarmante,2
alarmantes,1
alguno,1
algún,1
allanamientos,2
allá,2
alto,5
altura,1
alumbrado,1
alumno,1
ambiente,1
amiguismos,1
ampliar,1
amplio,32
américa,2
analizar,1
ancap,1
ancladas,1
anda,2
anep,1
animarnos,1
antel,1
anular,1
anunciar,1
apertura,3
aplicado,1
aplicar,2
aportes,1
apostar,1
apoyar,1
apoyo,1
aprenda,1
aprender,1
aprieta,1
aprisionado,1
aprobado,1
aprovecharon,1
apuesta,2
apueste,1
aquí,6
arcas,1
arena,1
arista,1
arrancamos,1
arrancar,1
arrastren,1
arroz,1
arruinado,1
artificial,1
asegurar,3
asentamientos,1
asistencialismo,2
asistido,1
aspecto,1
aspectos,1
asunto,1
así,7
atención,1
atender,1
atendió,1
atenta,1
atiende,1
atrás,9
audiovisual,1
aumenta,5
aumentado,1
aumentan,4
austeridad,1
autonomía,1
autoridad,1
autoridades,1
avanzado,2
avanzar,2
ayuden,1
azote,1
año,4
años,21
baja,1
bajan,2
bajar,1
bajarlos,1
bajaron,1
bajo,2
bajó,3
bala,1
banco,1
bandera,1
barrio,2
barrios,2
basada,1
base,7
bases,2
basta,1
bastante,2
basura,1
bergara,1
bien,11
blanco,1
blancos,1
boca,2
bolsillo,1
bonanza,1
bonito,1
bonomi,1
borda,1
bps,1
brilla,1
bruto,1
buen,1
buenas,1
bueno,5
buscan,1
buscarle,1
busquemos,1
cada,7
cadena,1
caducidad,1
caiga,1
calidad,3
calificadoras,1
calle,3
calles,2
cambiamos,4
cambiando,1
cambiar,3
cambiaria,1
cambio,3
cambios,6
cambió,3
camino,6
caminos,1
campaña,1
campeones,1
campo,2
canal,2
canalizan,1
candidato,3
candidatos,1
cantidad,1
capacidades,1
caracterización,1
cargos,1
caricatura,1
caro,1
cartoncito,1
cartón,1
casa,1
casas,1
casi,1
casinos,1
caso,3
casos,1
castro,1
ceibal,3
celeste,1
centenas,1
central,2
centro,1
centros,2
cercado,1
cero,3
cerrando,2
chavistas,1
chile,1
chávez,1
ciegas,1
ciencia,2
ciento,8
científico,1
cierto,1
cifra,2
cinco,3
ciudad,1
ciudadanos,1
ciudades,1
clandestinos,1
clara,2
claramente,1
claridad,1
claro,2
claros,1
clase,2
clases,1
clave,4
clavo,1
clientelista,1
clima,2
club,1
clubes,2
cobertura,2
colectiva,2
colorados,1
combatir,1
comerciales,1
comercio,1
comisión,3
comparto,1
compatriotas,2
compañeros,1
competente,1
competitividad,1
complejas,1
completamente,1
comportamiento,1
comprender,1
comprensión,3
comprometida,1
comprometido,1
comprometidos,1
compromiso,2
comunicado,1
común,1
concentradas,1
concentrados,1
concordatos,1
concretados,1
concretos,1
concurso,1
condena,1
condenado,2
condiciona,1
condiciones,1
condición,1
conducir,2
conducirse,1
conectividad,1
confianza,1
conformes,1
confía,1
conjuntamente,1
conozco,1
conscientes,1
consejos,2
consistente,1
constitucional,3
constitución,7
construcción,3
constructora,1
construir,4
construye,2
construyeron,1
construyó,1
consumo,1
continente,1
continuar,3
contralor,1
contribuyen,1
controlar,1
contundentes,1
convencer,1
convencida,2
convertimos,1
convertir,1
convivencia,2
convivir,1
cooperativismo,1
coordinación,2
copa,6
copados,1
corazón,1
corporaciones,2
corresponde,1
corrupción,1
cortada,1
cosa,4
cosas,10
cosse,1
costa,3
costo,2
costos,1
costó,2
coyunturas,1
crear,2
crearon,1
crecer,1
crecido,1
creciendo,1
creciente,1
crecimiento,3
creemos,6
creer,1
creo,28
crisis,3
criticada,1
cruel,1
cuales,1
cualquier,2
cuanto,1
cuatro,3
cuba,1
cuchillo,1
cudil,1
cuenta,1
cuestión,1
cuida,1
cuidado,1
cuidados,1
cuidando,1
cuidar,2
culpa,1
cultura,2
cumplan,1
cumplido,1
cumplieron,1
cumplimiento,1
cumplir,4
cuya,1
cuyo,1
cuál,2
cáncer,1
cárcel,4
cárceles,5
círculo,1
cómo,6
da,1
dado,1
damos,1
dando,1
daniel,1
dar,1
darle,1
datos,1
debajo,1
debate,4
debatiendo,1
debe,2
debemos,1
deberes,2
decenas,3
decida,2
decimos,3
decir,5
decirle,1
decisiones,1
declarar,1
defender,1
defendido,1
defensa,1
definen,1
definir,1
definitiva,2
dejar,2
delincuencia,2
delincuentes,3
delito,2
demagogia,1
demagógicas,1
demasiado,2
democracia,4
democracias,1
demoras,1
demostración,2
demostramos,1
demás,1
dentro,1
denuncia,1
denuncias,1
departamento,1
deprimente,1
derecho,10
derechos,14
desafiante,1
desafíos,9
desaparecieron,1
desarrollados,1
desarrollarlas,1
desarrollo,13
desastre,1
desatender,1
descentralizador,1
descentralizar,1
descubrimos,2
desempleo,1
desigualdad,1
desocupación,2
despilfarro,1
desplegaremos,1
despliegue,1
despliegues,1
después,8
destinos,2
destrozaron,1
desvalorización,1
desvalorizado,1
desvarío,1
detenido,1
determina,1
determinan,1
deuda,1
dice,1
dicho,3
dictadura,2
dificultades,7
difíciles,1
diga,1
digamos,1
digital,3
digo,1
dije,1
dijo,2
dilapidado,1
dinero,1
discapacidad,1
dispuesta,1
distinto,1
distintos,1
distribución,1
diversas,1
diversos,1
diálogo,5
docentes,2
documentos,1
domingo,4
doméstica,1
dos,8
dramática,1
droga,2
drogas,1
drásticos,1
dudas,1
duplicó,1
dura,1
déficit,2
día,3
días,4
dólares,6
