WORD,COUNT
país,26
educación,21
frente,19
amplio,18
realmente,15
adelante,14
hoy,14
llevar,12
años,12
trabajo,11
nacional,11
derecho,9
pública,9
parece,9
partido,9
desarrollo,8
ser,8
absolutamente,8
seguridad,8
derechos,8
creo,7
base,7
significa,7
futuro,7
queremos,7
tener,7
después,7
gente,7
millones,7
si,6
creemos,6
puede,6
suerte,6
materia,6
gobierno,6
uruguayos,6
reforma,6
grave,6
dólares,6
ingeniera,5
cada,5
muchas,5
poder,5
lamentablemente,5
ciento,5
inversión,5
sociedad,5
precisa,5
impuestos,5
necesario,5
peor,5
manera,4
vamos,4
relato,4
tercer,4
hacer,4
cumplir,4
ejemplo,4
uruguay,4
quieren,4
va,4
miedo,4
tema,4
pasta,4
vivir,4
nunca,4
resulta,4
realidad,4
grande,4
subir,4
domingo,4
acuerdos,4
decir,3
toda,3
hecho,3
forma,3
mano,3
pasado,3
sido,3
situación,3
dificultades,3
problemas,3
función,3
calidad,3
debate,3
dicho,3
niños,3
comprensión,3
lectora,3
año,3
entonces,3
república,3
delincuentes,3
fundamental,3
constitución,3
calle,3
bueno,3
decimos,3
comisión,3
propuesta,3
enorme,3
pueda,3
guardia,3
políticas,3
segunda,3
incluso,3
tratamiento,3
asegurar,3
valores,3
hijos,3
acuerdo,3
lamentable,3
además,3
alto,3
caso,3
menos,3
empresas,3
proyecto,3
pueden,3
fiscal,3
programa,3
hablan,3
cambio,3
único,3
candidato,3
gracias,3
paradoja,2
paro,2
general,2
salir,2
liceo,2
vera,2
camino,2
veces,2
especie,2
propiedad,2
productividad,2
negociación,2
colectiva,2
social,2
apuesta,2
van,2
necesita,2
pobreza,2
enormes,2
falta,2
aquí,2
verdaderamente,2
posible,2
públicas,2
pasó,2
cosas,2
producto,2
hizo,2
mientras,2
inaceptable,2
clara,2
montevideo,2
fallido,2
cuidar,2
días,2
situaciones,2
increíbles,2
pasando,2
minutos,2
instrumentos,2
señora,2
militares,2
calles,2
prejuicio,2
siempre,2
definitiva,2
aplicar,2
permanente,2
allanamientos,2
nocturnos,2
droga,2
tan,2
constitucional,2
meses,2
ejercicio,2
presidencia,2
manda,2
cárceles,2
prometer,2
próximos,2
cinco,2
atrás,2
adicciones,2
proponemos,2
agenda,2
alarmante,2
tanta,2
plata,2
resultados,2
fíjense,2
pobre,2
termina,2
oportunidades,2
mejor,2
así,2
deberes,2
asistencialismo,2
ruta,2
salida,2
extremadamente,2
fuerte,2
partidos,2
copa,2
hace,2
personas,2
medicamentos,2
costo,2
recurrir,2
justicia,2
bajo,2
pretensión,2
indiscutible,2
entrar,2
orden,2
boca,2
sostenemos,2
clima,2
dos,2
cerrando,2
decenas,2
wilsonista,2
campo,2
anda,2
bien,2
hicieron,2
regla,2
económico,2
voy,2
economía,2
servicio,2
humano,2
clubes,2
populistas,2
frases,2
funcionan,2
público,2
seguir,2
lugar,2
prioritario,2
corporaciones,2
ir,2
ley,2
marco,2
proyectado,2
ideológicas,2
pone,2
hospitales,2
acv,2
mueren,2
allá,2
político,2
próximo,2
elegir,2
garantía,2
sirve,2
primero,1
debatiendo,1
medio,1
sumergido,1
saber,1
piensa,1
cosse,1
respecto,1
marca,1
claridad,1
única,1
terminan,1
quedan,1
preocupante,1
desvalorizado,1
cultura,1
caricatura,1
títulos,1
universitarios,1
cartoncito,1
ocasiones,1
intentado,1
estilo,1
pato,1
celeste,1
made,1
in,1
ocupación,1
extensión,1
huelga,1
respetarla,1
impulsar,1
pacto,1
exonerar,1
tributos,1
mediante,1
aportes,1
banco,1
previsión,1
industria,1
construcción,1
bajarlos,1
incentivar,1
íntimamente,1
interconectados,1
subsidiar,1
subsidiamos,1
terminamos,1
subsidiando,1
desvalorización,1
parte,1
responsable,1
parado,1
creciente,1
desocupación,1
tremendas,1
incertidumbres,1
presenta,1
continuar,1
línea,1
ministerio,1
sucursal,1
pitcnt,1
preocupa,1
escuelas,1
fracaso,1
estrepitoso,1
apostar,1
fuertemente,1
construir,1
respuestas,1
esperando,1
shock,1
honestidad,1
vuelva,1
suceder,1
vicepresidente,1
renunciar,1
terminará,1
procesado,1
prometen,1
llegaron,1
ciencia,1
tecnología,1
concurso,1
abril,1
investigadores,1
docentes,1
sueldo,1
mil,1
pesos,1
gas,1
sayago,1
salarios,1
gerentes,1
finalizar,1
inconcebible,1
friopan,1
demostración,1
cómo,1
atenta,1
día,1
escape,1
cuatro,1
jefatura,1
policía,1
revela,1
cuida,1
principio,1
humanos,1
violados,1
basta,1
relatar,1
homicidio,1
horas,1
rapiña,1
barrios,1
copados,1
querido,1
mejoren,1
precandidato,1
debe,1
claramente,1
ideológico,1
iniciativa,1
habla,1
gabinete,1
propuestas,1
gobernando,1
propone,1
error,1
entendemos,1
cumplan,1
penas,1
pena,1
reclusión,1
revisable,1
habiliten,1
ejecutivo,1
conjuntamente,1
rehabilitación,1
sociales,1
educativas,1
librar,1
importante,1
tarea,1
azote,1
complejas,1
cáncer,1
vuelvo,1
repetir,1
utilizando,1
palabras,1
economista,1
bergara,1
frutillita,1
prevemos,1
establece,1
aplicado,1
frontera,1
propio,1
presidente,1
haberse,1
aprobado,1
ocho,1
todavía,1
puso,1
funcionamiento,1
reglamentó,1
firme,1
conducir,1
destinos,1
mal,1
comprender,1
delincuencia,1
cárcel,1
punta,1
rieles,1
idea,1
bastante,1
criticada,1
autoridades,1
época,1
increíble,1
prejuicios,1
ideológicos,1
hora,1
experiencias,1
exitosas,1
fuerza,1
europa,1
chile,1
aceptamos,1
intentar,1
hacia,1
cumplieron,1
llevaron,1
ejecutaron,1
dramática,1
perforando,1
uruguaya,1
matando,1
haciendo,1
siquiera,1
eliminar,1
llamado,1
respetar,1
pretendido,1
adueñar,1
verdad,1
empobrecido,1
empobrecieron,1
presente,1
hipotecaron,1
reproduce,1
desigualdad,1
malos,1
educativa,1
sólo,1
quintil,1
cifra,1
gravísima,1
tremendamente,1
privatizado,1
bolsillo,1
padres,1
determina,1
inequidad,1
proclamado,1
campeones,1
igualdades,1
clases,1
esencial,1
vacilar,1
declarar,1
esencialidad,1
corresponde,1
omitido,1
obligaciones,1
estatizado,1
círculo,1
esencia,1
gravísimos,1
condiciona,1
entiende,1
hicimos,1
seis,1
siete,1
tirado,1
basura,1
precisaba,1
mandato,1
requería,1
respaldo,1
fortaleza,1
apoyo,1
políticos,1
vacía,1
llena,1
cuestión,1
sale,1
queda,1
olvidó,1
nuevo,1
crearon,1
tiempo,1
debajo,1
cartón,1
nylon,1
multiplicado,1
asentamientos,1
cuidado,1
fundamentales,1
medioambiente,1
dado,1
crecido,1
acceder,1
vergüenza,1
legalización,1
marihuana,1
combatir,1
narcotráfico,1
incrementaron,1
consumo,1
drogas,1
adictos,1
cruel,1
dura,1
permitido,1
cualquier,1
cosa,1
acciones,1
contundentes,1
juez,1
competente,1
quedó,1
administrarlo,1
favorable,1
concordatos,1
últimos,1
tambo,1
plantar,1
hectáreas,1
arroz,1
inversor,1
confía,1
nacionalista,1
integral,1
local,1
agroindustrial,1
exportador,1
plenamente,1
conscientes,1
respaldar,1
sector,1
agropecuario,1
ciudades,1
modelo,1
agotó,1
candidatos,1
pudieron,1
fíjese,1
adoptado,1
consistente,1
privada,1
déficit,1
deuda,1
multiplicó,1
tres,1
página,1
bases,1
programáticas,1
expresan,1
expresar,1
recaudación,1
bps,1
prevista,1
recaudar,1
recauda,1
iass,1
incluido,1
evolución,1
subió,1
aguanta,1
ningún,1
confianza,1
inversiones,1
pertenecido,1
hechas,1
pensamiento,1
chavistas,1
enojar,1
tampoco,1
diga,1
dijo,1
cuba,1
venezuela,1
democracia,1
dictadura,1
club,1
populista,1
evo,1
morales,1
chávez,1
destrozaron,1
américa,1
latina,1
embarcaron,1
negocios,1
ruinosos,1
pluna,1
ancap,1
casinos,1
regasificadoras,1
horno,1
paysandú,1
enchufa,1
envidrio,1
huida,1
administrativo,1
par,1
centenas,1
escapan,1
contralor,1
dinero,1
escapando,1
regulación,1
hablamos,1
asistido,1
mayor,1
proceso,1
extranjerización,1
tierra,1
historia,1
parapetado,1
mayorías,1
parlamentarias,1
radical,1
dilapidado,1
bonanza,1
buscarle,1
vueltas,1
viviendo,1
inseguridad,1
insanía,1
incerteza,1
acusan,1
propalar,1
segundo,1
estudiante,1
alumno,1
aprenda,1
manos,1
clase,1
enseñanza,1
autonomía,1
centros,1
educativos,1
descentralizador,1
descentralizar,1
madres,1
puedan,1
mariscala,1
aiguá,1
ahora,1
minas,1
maldonado,1
igualdad,1
distintos,1
pagos,1
nacer,1
interior,1
siendo,1
condena,1
caro,1
encarecido,1
regulatorio,1
energía,1
eléctrica,1
aprovecharon,1
significar,1
tarifas,1
bajan,1
siguen,1
subiendo,1
contribuyen,1
arcas,1
compromiso,1
despilfarro,1
corrupción,1
apertura,1
mundo,1
cercado,1
afinidades,1
sirven,1
determinan,1
quede,1
preso,1
ideologías,1
perimidas,1
izquierda,1
abundancia,1
torna,1
